population,waste_kg,segregated_kg,complaints,collection_delay,previous_gvp,risk_score
7231,3815.18,2745.09,7,6.63,1,73.35
24348,4488.81,3942.63,1,4.75,1,50.86
21364,4644.76,2573.2,25,1.96,0,46.23
15971,2766.35,1614.98,27,5.97,0,66.03
15825,2841.24,2263.52,30,0.68,1,57.42
26464,4099.42,2575.13,38,6.2,1,99.2
7148,1915.03,1446.07,19,4.72,0,48.89
22434,4268.22,2573.06,33,0.89,0,58.49
10036,2723.64,1276.08,28,0.64,0,46.95
7354,1021.36,776.09,11,6.01,1,75.51
18161,824.27,347.95,33,2.34,1,76.08
29390,4288.97,1969.58,2,7.11,0,62.67
23393,750.06,521.1,23,6.1,0,63.86
24028,1762.75,1341.45,37,5.59,0,64.47
22936,2003.59,1687.18,26,2.23,1,67.54
24651,1278.48,639.14,37,5.67,0,80.1
17830,1912.52,785.85,2,7.59,0,66.84
8202,3842.12,3365.02,21,0.73,0,26.74
25993,566.07,246.2,31,2.61,0,58.95
16259,4222.28,1936.83,25,1.88,1,66.95
17508,4354.47,2221.78,35,3.15,0,74.03
14269,2175.18,1394.65,18,5.94,0,63.36
9563,1191.26,995.36,27,3.79,1,71.13
28169,3203.78,2461.47,16,4.57,0,56.46
24539,1038.53,767.98,34,2.51,0,59.06
21096,2142.14,956.14,4,1.13,1,50.4
15060,4812.93,2631.35,10,2.14,1,50.05
25569,4979.59,3053.1,3,6.88,0,53.63
18635,3974.47,1713.33,28,4.82,0,67.73
16085,1899.33,950.4,9,3.02,1,63.26
16261,3594.49,1867.64,12,6.32,0,64.42
10680,3674.33,1543.23,33,0.52,1,64.66
7303,2245.29,1465.35,14,2.03,1,53.49
18864,3384.0,2496.6,5,1.84,0,18.41
27197,548.27,212.98,0,7.88,1,79.98
6595,1440.76,885.52,9,5.65,0,43.89
26457,2862.9,2233.68,36,4.94,1,89.68
25690,1236.88,941.75,21,0.04,0,29.4
11918,1246.58,995.13,39,1.47,0,60.05
20791,4263.37,2543.24,8,5.08,1,73.77
9130,4951.1,3967.35,14,3.04,1,56.1
23952,3001.86,1448.14,6,7.39,0,68.69
22513,4275.81,2345.05,15,6.12,1,75.98
13863,4956.45,2215.51,22,3.58,0,56.22
6698,1137.18,690.4,32,6.0,0,76.37
29267,2517.11,1423.76,14,7.8,0,60.27
16142,2266.58,1093.65,30,3.69,0,64.89
27328,860.22,656.76,25,5.14,1,71.63
21947,3898.99,2037.67,11,7.35,1,87.05
24459,2452.01,1226.11,36,1.99,1,73.4
23997,2611.97,1102.22,17,7.09,0,76.38
9865,1178.03,696.63,6,0.78,1,41.23
14097,1314.17,678.94,38,5.19,0,85.55
16668,4581.97,2534.29,36,6.26,1,100.0
17444,700.92,336.3,1,4.92,1,58.41
6095,1547.84,1191.42,36,3.96,1,79.42
18664,1814.27,1562.99,37,4.94,1,77.71
8857,2705.89,1688.1,33,1.21,0,52.39
23584,3139.0,2208.76,10,1.72,1,51.46
22076,2719.8,2249.13,25,2.16,1,72.63
28063,878.52,790.1,21,4.78,0,45.99
23619,1596.5,1097.49,24,3.54,1,68.68
14166,4296.15,3606.09,24,1.96,0,38.59
29187,3369.15,2862.88,25,7.06,0,70.28
15271,3421.17,2686.64,20,2.99,1,64.22
13145,3515.91,2121.9,27,3.57,1,77.07
27638,3933.06,1552.12,21,3.28,0,64.45
14261,761.49,273.14,0,1.46,1,42.92
6908,2149.74,1316.63,1,5.85,1,69.8
16738,2927.87,1820.77,38,3.59,0,70.9
24891,2023.05,1161.33,36,0.13,0,47.86
9736,4300.15,2848.82,23,7.71,0,75.97
16573,2671.58,1746.38,6,6.53,1,84.49
8248,3958.82,3207.19,31,5.79,0,65.31
22161,4334.07,1775.93,5,6.95,1,84.27
16892,2771.56,1313.3,15,7.25,1,86.2
13254,4592.99,3610.79,13,2.7,1,64.49
10672,3142.06,2564.89,0,4.89,0,39.97
19112,4326.23,3881.3,32,4.87,0,59.61
21745,2032.66,1687.31,20,2.14,1,57.45
28507,2744.68,2304.0,12,1.78,1,47.42
15928,2891.35,1511.86,20,0.91,0,37.63
9017,972.41,555.16,0,5.27,1,64.65
25816,2293.49,1140.89,17,6.25,1,86.98
20744,4628.02,3163.09,20,6.09,1,84.68
22506,3338.75,2892.5,13,2.53,0,32.75
7430,1298.78,700.76,33,1.64,1,74.0
12809,2024.85,1329.01,9,3.63,1,59.54
24196,1362.21,698.77,5,4.37,1,62.83
25806,611.7,271.22,21,7.35,0,73.44
15880,4673.57,2137.47,35,7.0,1,100.0
25119,2516.93,961.14,15,7.33,0,69.62
26042,1883.91,1642.98,1,6.8,1,64.17
14686,3193.15,1825.15,38,7.72,0,91.09
27452,532.92,431.0,17,3.72,0,50.85
12208,1751.1,1269.08,6,0.38,0,12.98
10988,3663.65,1669.0,24,0.67,0,41.6
22062,3351.96,1496.67,12,3.12,0,43.08
20919,4918.13,3917.75,37,2.06,0,57.28
8493,3291.61,1631.29,11,1.36,1,46.94
25818,2648.78,2257.57,22,7.63,0,66.43
9997,3926.45,1676.71,21,1.56,1,55.85
25122,4564.98,3299.29,9,7.68,0,64.4
5184,3743.13,2986.87,19,6.09,1,75.88
24921,4834.45,2317.59,4,5.13,0,44.81
24673,4019.02,2017.2,25,5.41,1,94.63
24509,4400.61,3874.67,30,2.65,0,43.03
21621,1013.47,502.2,38,5.17,0,82.78
16789,3795.86,2226.18,13,1.49,1,50.61
22629,2480.4,1458.19,11,7.5,1,92.01
11928,2988.97,1462.11,21,2.41,0,54.24
24518,3443.46,2674.48,27,2.04,1,58.63
18891,4864.17,3767.38,39,5.69,0,73.43
16472,4930.6,2751.64,1,5.25,0,51.0
17640,1797.03,1454.37,9,3.61,0,34.16
19218,3801.89,1776.21,10,5.06,1,73.77
5931,3874.93,1365.4,10,1.28,0,45.68
8494,2059.22,1367.61,18,5.39,0,54.22
11137,1057.41,948.23,34,2.16,0,47.12
7863,684.26,254.04,1,2.18,1,55.22
15990,3998.04,1856.69,32,1.3,0,60.05
21710,2703.65,1717.91,24,2.66,1,67.07
21360,4934.93,3925.58,24,2.65,1,63.8
16777,2592.38,1034.29,27,3.63,1,74.21
26377,4900.63,2780.51,4,1.52,1,42.58
19130,2352.09,1789.69,29,1.54,0,45.71
6979,4071.57,2257.07,9,4.33,0,48.69
24124,881.69,400.16,20,1.03,1,59.31
19365,2999.58,1372.37,27,5.51,0,79.08
20867,4109.27,2364.99,24,7.55,0,74.04
19134,4661.16,2860.46,12,3.41,0,44.65
18839,4201.62,3462.13,15,7.21,1,81.57
7264,666.37,468.62,19,0.79,1,45.47
18980,2177.16,1588.72,1,0.34,0,20.23
24872,719.14,640.5,29,5.77,1,84.38
12598,991.77,571.77,3,6.09,1,69.33
